ALCALDIA, MC,PRIAN, MORENA
GAM,8.7443,21,0998,68.0537
GAM,8.6762,38.3140,50.8898
AZC,9.0225,34.6548,54.5018
IZP,8.0483,20.3083,69.6161
TLP,9.2982,31.7612,56.8301
LMC,7.5605,40.2770,50.2056
GAM,9.8063,29.3410,58.7896
COY,8.2455,40.0224,49.6447
TLC, 10.4383,21.3377,66.2081
MH,6.7293,50.3838,41.3205
VC,9.3037,33.7492,54.9183
CUH,7.9226,41.8982,47.9536
IZT,9.4059,32.9475,55.6853
TLP,8.1175,39.5712,50.1830
BJ,5.4055,62.8843,29.9306
AO,8.1784,32.7777,57.0105
AO,8.1385,39.9516,50.1519
IZP,8.5682,27.7487,61.6888
COY,7.7448,45.2290,45.2042
IZP,8.0720,21.6906,67.9693
XOH,10.6879,20.9393,66.0104
IZP,7.0509,12.7532,77.8877
